ID;x;y;C;N;E;S;W
1012;493280.9746;7660840.447;24;23;23;85;80
1013;493272.7695;7660892.411;23;23;23;23;23
1014;493269.2421;7660943.626;29;22;24;47;42
1015;493263.1209;7660991.527;22;23;22;22;22
1016;493260.0638;7661041.552;25;25;22;22;30
1017;493252.1142;7661091.463;81;22;30;24;22
1018;493247.4247;7661141.02;30;83;83;25;23
1019;493244.1569;7661188.163;23;23;24;24;23
1020;493238.9883;7661238.01;23;24;23;81;24
1021;493234.7384;7661287.645;24;24;24;24;24
1022;493227.6171;7661337.828;23;23;23;23;23
1023;493226.5288;7661386.716;30;25;30;23;23
1024;493217.9129;7661435.718;25;75;25;75;25
1025;493211.8761;7661488.484;22;30;22;22;23
1026;493209.792;7661536.104;23;23;23;25;75
1027;493202.9292;7661585.755;85;12;29;85;85
1028;493198.7973;7661637.564;23;85;23;23;85
1029;493193.0125;7661686.451;80;80;80;80;80
1030;493190.1225;7661735.69;22;25;30;30;22
1031;493183.8446;7661783.785;22;22;22;25;22
1032;493179.2598;7661834.991;30;25;30;30;30
1033;493175.4163;7661884.58;25;23;25;25;25
1034;493168.0049;7661936.081;85;85;85;85;24
1035;493164.7379;7661982.687;30;30;25;85;29
1036;493159.1977;7662033.544;24;23;24;24;30
1037;493151.7217;7662088.111;25;25;24;22;23
1038;493148.8062;7662134.285;30;30;24;24;30
1039;493144.6337;7662184.117;22;25;25;22;22
1040;493140.557;7662233.731;24;22;24;22;12
1041;493379.2004;7660296.474;30;44;71;27;27
1042;493377.281;7660340.868;22;25;27;75;75
1043;493370.4606;7660395.589;87;87;85;85;89
1044;493364.114;7660447.45;85;31;85;85;85
1045;493359.8784;7660495.105;25;81;30;85;85
1046;493354.7791;7660547.968;21;81;21;21;22
1047;493351.2478;7660597.32;27;30;27;30;25
1048;493345.7645;7660646.582;85;85;30;24;23
1049;493341.8947;7660697.194;22;24;23;22;22
1050;493335.881;7660747.172;41;42;41;41;41
1051;493332.4971;7660801.697;23;24;24;23;24
1052;493325.3468;7660845.406;23;23;12;23;23
1053;493323.5917;7660895.355;23;24;22;22;24
1054;493318.2217;7660946.196;23;23;23;23;23
1055;493313.9906;7660992.533;23;23;23;30;24
1056;493308.1594;7661043.585;23;23;85;23;22
1057;493304.9017;7661095.5;42;75;43;42;47
1058;493297.8982;7661142.794;23;23;23;23;23
1059;493292.3824;7661192.244;24;24;24;24;24
